Handle,Vendor,Type,Concern tags,Title (FR),Title (EN)
w,VT Cosmetics,Crèmes & Baumes,"besoin-eclat, besoin-age, besoin-secheresse",Stick Anti-Âge au PDRN,PDRN Anti-Ageing Stick Balm
soin-repulpant-levres-vt-cosmetics,VT Cosmetics,Maquillage,"besoin-secheresse, besoin-sensible",Soin Repulpant Lèvres Débutant,Reedle Shot Lip Plumper — Beginner
soin-repulpant-levres-vt-cosmetics-1,VT Cosmetics,Maquillage,"besoin-eclat, besoin-secheresse, besoin-sensible",Soin Repulpant Lèvres Expert,Reedle Shot Lip Plumper — Expert
cils-magnetiques-glash,Glash,Maquillage,besoin-eclat,Cils Magnétiques,Magnetic Lashes
applicateur-cils-magnetiques-glash,Glash,Maquillage,besoin-eclat,Applicateur Cils Magnétiques,Magnetic Lash Applicator
kit-glash-1-paire-de-cils-magnetiques-l-applicateur,Glash,Maquillage,besoin-eclat,Kit Glash : 1 paire de cils magnétiques + l’applicateur,Glash Kit: one pair of magnetic lashes + applicator
baume-a-levres-teinte-rom-nd,rom&nd,Maquillage,besoin-secheresse,Baume à lèvres teinté,Glasting Melting Tinted Lip Balm
palettes-pour-les-yeux-rom-nd,rom&nd,Maquillage,besoin-eclat,Palettes pour les yeux,Better Than Palette Eyeshadow Palettes
dalba-while-supplies-last-clinic-modeling-mask-pack-nourishingmoisturizing-77gx4ea-exp-dec-2026,d’Alba,Sérums & Ampoules,besoin-eclat,Clinic Modeling Mask Pack [Nourishing/Moisturizing] (77gX4EA) (Exp. Dec 2026),Clinic Modeling Mask Pack — Nourishing/Moisturizing (77g × 4)
dalba-single-item-double-serum-30ml-1-pc-until-sep-2027,d’Alba,Sérums & Ampoules,besoin-eclat,Double Sérum 30ml (1 pièce) (Jusqu'à sept. 2027),Double Serum 30ml
